categpry,vtype,priority,rank,project,origin commit,buggy commit,buggy path,buggy start,buggy end,fixer,fixer path,method,field,resolution,life_time,location_count,method_count,file_count,mark-vtype,mark-category,mark-all
DODGY_CODE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,3,20,commons-net,1c27aa0ab6843de634cad6884c66913c1e67007e,64a55b64a4af0146cb8e5fc2d45bd184bb114df7,src/main/java/org/apache/commons/net/pop3/POP3MessageInfo.java,55,55,d1c9e93904bc5206037ed8a9f9162fedd74c8614,src/main/java/org/apache/commons/net/pop3/POP3MessageInfo.java,NO_METHOD,number,unfixed,13,1,38,38,FP,FP,FP
DODGY_CODE,NP_LOAD_OF_KNOWN_NULL_VALUE,3,19,commons-net,4379a6810227bf2eeba5860b62d42834d62e4413,81655eb4c78d9c27fa6e822fb6774e78078cd4fa,src/main/java/org/apache/commons/net/ftp/parser/MacOsPeterFTPEntryParser.java,218,218,78eb940af1d240192205701ece183783eeb09bc9,src/main/java/org/apache/commons/net/ftp/parser/MacOsPeterFTPEntryParser.java,parseFTPEntry(Ljava/lang/String;)Lorg/apache/commons/net/ftp/FTPFile;,NO_FIELD,unfixed,2312,20,23,23,FP,FP,FP
DODGY_CODE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,2,18,commons-net,12c952df0694b3df19d02a0fc072d5d1910b0a63,07325ff9d25bfbc1604ae239a9f9dbd8b50562ae,src/main/java/org/apache/commons/net/pop3/POP3MessageInfo.java,80,80,ba7cf006e30fa1f41f37c48e499e3c6f551ad648,src/main/java/org/apache/commons/net/pop3/POP3MessageInfo.java,NO_METHOD,size,unfixed,3,26,38,38,FP,FP,FP
BAD_PRACTICE,ES_COMPARING_STRINGS_WITH_EQ,2,11,commons-net,87ae91b48a06288678f98c4986af5114c223aae0,b21c46d641c1533da385ab341162bb3fe5883c41,src/main/java/org/apache/commons/net/nntp/Threader.java,305,305,1f8cfe7d2b2306384243cae9a45de523f4e0a8f8,src/main/java/org/apache/commons/net/nntp/Threader.java,gatherSubjects()V,NO_FIELD,unfixed,275,9,24,134,FP,FP,FP
DODGY_CODE,SF_SWITCH_FALLTHROUGH,2,17,commons-net,cd0770fee0fdb0faa55ed0118bfa95924c746a3b,d0df553fb7b293be94ac34b2d8da7739bffa6ad4,src/main/java/org/apache/commons/net/ftp/parser/MacOsPeterFTPEntryParser.java,171,176,c82aad1064a2e08f77f17dd7ea82826400513133,src/main/java/org/apache/commons/net/ftp/parser/MacOsPeterFTPEntryParser.java,parseFTPEntry(Ljava/lang/String;)Lorg/apache/commons/net/ftp/FTPFile;,NO_FIELD,fixed,40,0,23,23,TP,TP,TP
BAD_PRACTICE,THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION,2,16,commons-net,4379a6810227bf2eeba5860b62d42834d62e4413,22cd80def1f140c95e4ed723d28c00061299ab4f,src/main/java/examples/Main.java,43,95,41bdc4e2626a9009b0a0be4d25e182d7929770a8,src/main/java/examples/Main.java,main([Ljava/lang/String;)V,NO_FIELD,fixed,281,2,9,10,TP,TP,TP
DODGY_CODE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,3,20,commons-net,4379a6810227bf2eeba5860b62d42834d62e4413,b8ecb3f9fab3350ac9fbf2c0585932a804483c36,src/main/java/org/apache/commons/net/nntp/Threader.java,299,299,a0973e365922027c7035adfad827d43485d29120,src/main/java/org/apache/commons/net/nntp/Threader.java,gatherSubjects()V,root,fixed,41,2,24,134,TP,TP,TP
I18N,DM_DEFAULT_ENCODING,1,19,commons-net,c2ceeda2055ecfa02ff7dd44ee2db0625fba246f,461a77e1995068348d27cb27e7216ff6e820dc3f,src/main/java/org/apache/commons/net/pop3/ExtendedPOP3Client.java,93,93,56e1bce1c50967d770b311ffc7e97b17ac263ba2,src/main/java/org/apache/commons/net/pop3/ExtendedPOP3Client.java,auth(Lorg/apache/commons/net/pop3/ExtendedPOP3Client$AUTH_METHOD;Ljava/lang/String;Ljava/lang/String;)Z,NO_FIELD,unfixed,2,10,12,12,FP,FP,FP
MALICIOUS_CODE,EI_EXPOSE_REP2,2,18,commons-net,1c27aa0ab6843de634cad6884c66913c1e67007e,97627a7ae8be351c152d5e653c79e29526a5fe38,src/main/java/org/apache/commons/net/ftp/parser/ParserInitializationException.java,54,54,e46d18cf9cd8a94cc5ae1ad05474c7dadaff1c72,src/main/java/org/apache/commons/net/ftp/parser/ParserInitializationException.java,<init>(Ljava/lang/String;Ljava/lang/Throwable;)V,rootCause,fixed,4,0,0,1,TP,TP,TP
DODGY_CODE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,3,20,commons-net,4379a6810227bf2eeba5860b62d42834d62e4413,b8ecb3f9fab3350ac9fbf2c0585932a804483c36,src/main/java/org/apache/commons/net/nntp/Threader.java,211,211,a0973e365922027c7035adfad827d43485d29120,src/main/java/org/apache/commons/net/nntp/Threader.java,findRootSet()Lorg/apache/commons/net/nntp/ThreadContainer;,idTable,fixed,41,2,33,134,TP,TP,TP
