method,unknown,fixed,disappear,unfixed
getCurrentConfig()Lorg/apache/commons/configuration2/CombinedConfiguration;,,1,,1
getDataSource()Ljavax/sql/DataSource;,,,,11
getDefaultClass(Ljava/lang/Object;Ljava/lang/String;)Ljava/lang/Class;,,2,,47
getDouble(Ljava/lang/String;D)D,,1,,25
getDynaProperty(Ljava/lang/String;)Lorg/apache/commons/beanutils/DynaProperty;,,2,,12
getFile()Ljava/io/File;,,3,,15
getFloat(Ljava/lang/String;F)F,,1,,25
getKeys()Ljava/util/Iterator;,,4,,52
getLocations()[Lorg/springframework/core/io/Resource;,,1,,
getLong(Ljava/lang/String;J)J,,1,,25
getMaxPosition()I,,1,,33
getMessage()Ljava/lang/String;,,1,,24
getName(Ljava/io/File;)Ljava/lang/String;,,,,17
getNodePointer()Lorg/apache/commons/jxpath/ri/model/NodePointer;,,2,,33
getOptions(Ljava/lang/String;)Lorg/apache/commons/vfs/FileSystemOptions;,,,,2
getOptions(Ljava/lang/String;)Lorg/apache/commons/vfs2/FileSystemOptions;,,1,,44
getPath(Ljava/io/File;Ljava/net/URL;Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;,,1,,9
getPrivateCatalog()Lorg/apache/xml/resolver/Catalog;,,1,,47
getProperty(Ljava/lang/String;)Ljava/lang/Object;,,7,,68
getPropertyDescriptors()[Ljava/beans/PropertyDescriptor;,,,,8
getRootNode()Ljava/lang/Object;,,,,10
getRootNode()Lorg/apache/commons/configuration/tree/ConfigurationNode;,,1,,20
getRootNode()Lorg/apache/commons/configuration2/tree/ConfigurationNode;,,,,6
getShort(Ljava/lang/String;S)S,,1,,25
getSubNodes(Ljava/lang/String;)Ljava/util/List;,,1,,37
hasDelimiter()Z,,2,,12
init()V,,1,,20
initBean(Ljava/lang/Object;Lorg/apache/commons/configuration/beanutils/BeanDeclaration;)V,,1,,7
initBean(Ljava/lang/Object;Lorg/apache/commons/configuration2/beanutils/BeanDeclaration;)V,,1,,5
initBean(Ljava/lang/Object;Lorg/apache/commons/configuration2/beanutils/BeanDeclaration;Z)V,,1,,
injectFileLocator(Ljava/net/URL;)V,1,,,
injectNullFileLocator()V,1,,,
isEmpty()Z,,4,,52
isEnum(Ljava/lang/Class;)Z,1,,,7
jjAddStates(II)V,,1,,15
jjCheckNAddStates(I)V,,1,,15
jjMoveNfa_0(II)I,,1,,21
jj_rescan_token()V,,,,18
load(Ljava/io/InputStream;Ljava/lang/String;)V,,1,,36
load(Ljava/io/Reader;)V,,,,61
load(Lorg/xml/sax/InputSource;)V,,2,,14
loadFromStreamDirectly(Ljava/io/InputStream;)V,1,,,
loadFromTransformedStream(Ljava/io/InputStream;Ljava/lang/String;)V,,,,29
loadSystemCatalogs()V,,1,,76
locate(Ljava/lang/String;Ljava/lang/String;)Ljava/net/URL;,,,,14
locate(Lorg/apache/commons/configuration/FileSystem;Ljava/lang/String;Ljava/lang/String;)Ljava/net/URL;,,,,16
locate(Lorg/apache/commons/configuration/io/FileSystem;Ljava/lang/String;Ljava/lang/String;)Ljava/net/URL;,,2,,
locate(Lorg/apache/commons/configuration2/FileSystem;Ljava/lang/String;Ljava/lang/String;)Ljava/net/URL;,,,,1
locate(Lorg/apache/commons/configuration2/fs/FileSystem;Ljava/lang/String;Ljava/lang/String;)Ljava/net/URL;,,,,2
normalizeURI(Ljava/lang/String;)Ljava/lang/String;,,1,,47
parseDate(Ljava/lang/String;)Ljava/util/Date;,,,,3
parseLookups(Ljava/lang/String;)Ljava/util/Map;,,,,3
parseProperty(Ljava/lang/String;)[Ljava/lang/String;,,1,,13
performOperation()Ljava/lang/Boolean;,,1,,11
performOperation()Ljava/lang/Object;,,,,12
performReloadCheck()V,,2,,6
printTree(Ljava/lang/String;Lorg/apache/commons/configuration/tree/ConfigurationNode;)V,,1,,
printValue(Ljava/io/PrintWriter;ILjava/lang/Object;)V,,2,,43
read(Ljava/io/Reader;)V,,2,,58
readFully(Ljava/io/Reader;)Ljava/lang/String;,,1,,
registerBeanFactory()V,,2,,6
reload()V,,,,16
reload(Z)Z,,2,,
removeNode(Lorg/apache/commons/configuration/tree/ConfigurationNode;)Z,,1,,29
removeNode(Lorg/apache/commons/configuration2/tree/ConfigurationNode;)Z,,,,8
removeNodes(Ljava/lang/String;)Z,,1,,37
resolveContainerStore(Ljava/lang/String;)Ljava/lang/Object;,,6,,18
resolveEntity(Ljava/lang/String;Ljava/lang/String;)Lorg/xml/sax/InputSource;,,2,,1
save(Ljava/io/OutputStream;Ljava/lang/String;)V,,1,,36
save(Ljava/io/Writer;)V,,1,,21
saveToStream(Ljava/io/OutputStream;Ljava/lang/String;Ljava/net/URL;)V,,1,,29
set(Ljava/lang/String;Ljava/lang/Object;)V,,7,,28
setConfigurations([Lorg/apache/commons/configuration2/Configuration;)V,,1,,
setDetailEvents(Z)V,,1,,
setLocations([Lorg/springframework/core/io/Resource;)V,,1,,
setProperty(Lorg/apache/commons/vfs/FileSystemConfigBuilder;Lorg/apache/commons/vfs/FileSystemOptions;Ljava/lang/String;Ljava/lang/Object;)V,,1,,6
setProperty(Lorg/apache/commons/vfs2/FileSystemConfigBuilder;Lorg/apache/commons/vfs2/FileSystemOptions;Ljava/lang/String;Ljava/lang/Object;)V,,2,,114
setRootNode(Lorg/apache/commons/configuration/tree/ConfigurationNode;)V,1,2,,54
setRootNode(Lorg/apache/commons/configuration2/tree/ConfigurationNode;)V,,,,7
setValue(Ljava/lang/Object;)V,,1,,47
sourceURLAsString()Ljava/lang/String;,,1,,3
stopMonitor()V,,,,1
toByte(Ljava/lang/Object;)Ljava/lang/Byte;,,1,,33
toDouble(Ljava/lang/Object;)Ljava/lang/Double;,,2,,46
toEnum(Ljava/lang/Object;Ljava/lang/Class;)Ljava/lang/Object;,,1,,11
toFloat(Ljava/lang/Object;)Ljava/lang/Float;,,2,,46
toInteger(Ljava/lang/Object;)Ljava/lang/Integer;,,1,,33
toInternetAddress(Ljava/lang/Object;)Ljava/lang/Object;,,4,,51
toLong(Ljava/lang/Object;)Ljava/lang/Long;,,1,,33
toShort(Ljava/lang/Object;)Ljava/lang/Short;,,1,,33
toURL(Ljava/io/File;)Ljava/net/URL;,,1,,3
validateRootNode()V,,1,,3
visitBeforeChildren(Lorg/apache/commons/configuration/tree/ImmutableNode;Lorg/apache/commons/configuration/tree/NodeHandler;)V,,,,5
visitBeforeChildren(Lorg/apache/commons/configuration2/tree/ImmutableNode;Lorg/apache/commons/configuration2/tree/NodeHandler;)V,,,,21
write(Ljava/io/Writer;)V,,1,,8
