categpry,vtype,priority,rank,project,origin commit,buggy commit,buggy path,buggy start,buggy end,fixer,fixer path,method,field,resolution,life_time,location_count,method_count,file_count,mark-vtype,mark-category,mark-all
DODGY_CODE,UC_USELESS_CONDITION,2,16,commons-codec,89b1661fde38bd12c4d83b9fbe696db0c8657a78,ba966190a1f61520201b7d62fdf69aa6515e2e73,src/main/java/org/apache/commons/codec/language/MatchRatingApproachEncoder.java,190,190,27388c817bf558af48568ce724b9de080e80e8f1,src/main/java/org/apache/commons/codec/language/MatchRatingApproachEncoder.java,getMinRating(I)I,NO_FIELD,fixed,2,24,24,36,TP,TP,TP
PERFORMANCE,SS_SHOULD_BE_STATIC,2,18,commons-codec,f4fc386ef66d0f2b2fda3578cc83312b69804813,e199951ded476c2dd988490e90092f8beb1cb9b7,src/main/java/org/apache/commons/codec/binary/BaseNCodec.java,156,156,379211207d6d9937e11757714f3c7afadabdf567,src/main/java/org/apache/commons/codec/binary/BaseNCodec.java,NO_METHOD,PAD,unfixed,232,17,25,29,TP,TP,TP
MALICIOUS_CODE,MS_SHOULD_BE_FINAL,3,20,commons-codec,4075aa69bfff3d283fcf59ff371a3bcc43238b4e,5b74e6da63b1f0ad9972c2ca3f85abcb1080fb53,src/java/org/apache/commons/codec/net/URLCodec.java,58,58,d09530a36ddb367da4d47c487496b68d999f7837,src/java/org/apache/commons/codec/net/URLCodec.java,NO_METHOD,ESCAPE_CHAR,fixed,121,4,14,38,TP,TP,TP
I18N,DM_DEFAULT_ENCODING,1,19,commons-codec,4075aa69bfff3d283fcf59ff371a3bcc43238b4e,100d531386e69f70bc73a039b4a5776e4ab36cbf,src/java/org/apache/commons/codec/digest/DigestUtils.java,356,356,356aee756a4b13c717392032cc70ebfeba2ee0e6,src/java/org/apache/commons/codec/digest/DigestUtils.java,sha384(Ljava/lang/String;)[B,NO_FIELD,fixed,499,1,7,34,TP,TP,TP
I18N,DM_DEFAULT_ENCODING,1,19,commons-codec,7028095497c29edde3c0f320080f7d4aa5b22c98,bade1b72d526fb6493f1b11d8f2e63e51793af91,src/java/org/apache/commons/codec/binary/Hex.java,168,168,b3607d8b91c7f164cb3b2aa67035bd5c468fcc56,src/java/org/apache/commons/codec/binary/Hex.java,decode([B)[B,NO_FIELD,fixed,12,5,6,18,TP,TP,TP
DODGY_CODE,SF_SWITCH_NO_DEFAULT,2,19,commons-codec,3f41cf1609fae7c8848beb0655bcf67132c7a277,ab25ca771e463eb6fb0bac8b1866ae670e8e92c0,src/main/java/org/apache/commons/codec/binary/Base64.java,339,358,2c3ce2826244217eeaea4ccf4539d3ab104f725f,src/main/java/org/apache/commons/codec/binary/Base64.java,encode([BIILorg/apache/commons/codec/binary/BaseNCodec$Context;)V,NO_FIELD,fixed,159,2,4,17,TP,TP,TP
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,20,commons-codec,e09b236f8850133dd9687d4a0e345e2ffbf79cd1,3e871d2b093efbc9f8a7149cb6fabbf95bbbad1e,src/main/java/org/apache/commons/codec/binary/StringUtils.java,128,128,101fea65942f9ed5f765bdfac2c7a1ca545ed356,src/main/java/org/apache/commons/codec/binary/StringUtils.java,getBytes(Ljava/lang/String;Ljava/nio/charset/Charset;)[B,NO_FIELD,unfixed,835,2,20,43,TP,TP,TP
DODGY_CODE,SA_FIELD_DOUBLE_ASSIGNMENT,3,20,commons-codec,4cc8b66909d3f530f8509785dfb958d71526f3f0,5e4cef4b366ba808e9ce260278a701d2aea01e84,src/java/org/apache/commons/codec/binary/Base64.java,481,481,0309db6bdcc133c4f6ad871c28fbe468df8f6c55,src/java/org/apache/commons/codec/binary/Base64.java,encode([BII)V,modulus,unfixed,1,3,20,48,TP,TP,TP
DODGY_CODE,INT_VACUOUS_BIT_OPERATION,2,17,commons-codec,4008ff9e49715f77cd6ac956b358160b7e416e69,fc393f7bdf6c971cb0dcd977d3015ad5ce524149,src/main/java/org/apache/commons/codec/digest/UnixCrypt.java,342,342,ace1dc41eb128bc0de794b376f446d276f80ef72,src/main/java/org/apache/commons/codec/digest/UnixCrypt.java,body([III)[I,NO_FIELD,fixed,134,2,2,9,TP,TP,TP
PERFORMANCE,SS_SHOULD_BE_STATIC,2,18,commons-codec,924540abc919d32a8aaa92c6f18906f01e64e167,ac7e904531c4509ecb9158e4b31cce95ed938119,src/main/java/org/apache/commons/codec/net/PercentCodec.java,45,45,dd5e46203e5b12f4b65e76ef2e5c34197692b5b4,src/main/java/org/apache/commons/codec/net/PercentCodec.java,NO_METHOD,ESCAPE_CHAR,fixed,467,4,4,16,TP,TP,TP
DODGY_CODE,DLS_DEAD_LOCAL_STORE,3,20,commons-codec,203918573c29676b179b673aa7e41366dc4215d9,e246d2ac01f1ac741aa4673aed3d028e08a63c73,src/main/java/org/apache/commons/codec/language/ColognePhonetic.java,383,383,0b2a0c932d089de9f19e2ea9b278c5d09a239099,src/main/java/org/apache/commons/codec/language/ColognePhonetic.java,colognePhonetic(Ljava/lang/String;)Ljava/lang/String;,NO_FIELD,unfixed,1,1,1,1,TP,TP,TP
PERFORMANCE,SBSC_USE_STRINGBUFFER_CONCATENATION,2,18,commons-codec,03d62b63f1d8c6551d59893fd3f5dc1add6d3132,d2c0d2a2327e9ddf887b119fadbe5a5366f67e36,src/main/java/org/apache/commons/codec/digest/UnixCrypt.java,376,376,536ede39c1bd58ae4aa6138103746b94164287ee,src/main/java/org/apache/commons/codec/digest/UnixCrypt.java,crypt([BLjava/lang/String;)Ljava/lang/String;,NO_FIELD,unfixed,106,2,5,9,TP,TP,TP
DODGY_CODE,SF_SWITCH_NO_DEFAULT,2,19,commons-codec,0a7bbe29d8ecc70ecb84c7f515ffc2e9394b0a75,0a7bbe29d8ecc70ecb84c7f515ffc2e9394b0a75,src/main/java/org/apache/commons/codec/binary/Base64.java,334,351,5cd45cca92b4ba31d55f2e5d28aacf2a5d3fca22,src/main/java/org/apache/commons/codec/binary/Base64.java,encode([BIILorg/apache/commons/codec/binary/BaseNCodec$Context;)V,NO_FIELD,unfixed,1,2,4,17,TP,TP,TP
MALICIOUS_CODE,EI_EXPOSE_REP2,2,18,commons-codec,ce8a31b1ce8a1a555642b4e05387a5b6b414a688,df9d1bbcdf99349c471d934ab9df4cc7eae58c59,src/java/org/apache/commons/codec/binary/Base64.java,224,224,cad66447478d7d29bc04b3ce6a9049d6912c11b4,src/java/org/apache/commons/codec/binary/Base64.java,<init>(I[B)V,lineSeparator,fixed,17,1,1,48,TP,TP,TP
DODGY_CODE,SA_FIELD_DOUBLE_ASSIGNMENT,3,20,commons-codec,effccf34b070dafe36e05a181d90d1969443fc0c,9ac451e968c2e582716af59c3c1a06208a9b213a,src/java/org/apache/commons/codec/binary/Base32.java,347,347,56730f9160d3917e180dcbdc2cf133e7a5da0b7f,src/java/org/apache/commons/codec/binary/Base32.java,encode([BII)V,modulus,unfixed,0,1,11,20,TP,TP,TP
MALICIOUS_CODE,MS_PKGPROTECT,2,18,commons-codec,4075aa69bfff3d283fcf59ff371a3bcc43238b4e,981c0002d5accb9ebc056b7a34025fd814c4e17f,src/java/org/apache/commons/codec/language/RefinedSoundex.java,38,38,cb63f4a959e30de6882b20af10d189c7307a6da2,src/java/org/apache/commons/codec/language/RefinedSoundex.java,NO_METHOD,US_ENGLISH_MAPPING,fixed,387,1,10,13,TP,TP,TP
I18N,DM_DEFAULT_ENCODING,1,19,commons-codec,e2df85024e2ab99645a788b4b2836ba1cfdb87f5,a870413801679ec8d0eefd97878a87bb2697ae5e,src/java/org/apache/commons/codec/binary/Base64.java,335,335,4d67ff229be56b150180cd6652d118075d171e05,src/java/org/apache/commons/codec/binary/Base64.java,<init>(I[BZ)V,NO_FIELD,fixed,398,1,1,48,TP,TP,TP
DODGY_CODE,SF_SWITCH_NO_DEFAULT,2,19,commons-codec,2576c599bbcfc77272cd138fab749df9218ba622,622088ba07b5b9452b73e2b2867549540e431732,src/main/java/org/apache/commons/codec/binary/Base32.java,321,350,0a7bbe29d8ecc70ecb84c7f515ffc2e9394b0a75,src/main/java/org/apache/commons/codec/binary/Base32.java,decode([BII)V,NO_FIELD,unfixed,387,5,5,18,TP,TP,TP
MALICIOUS_CODE,MS_PKGPROTECT,2,18,commons-codec,4cc8b66909d3f530f8509785dfb958d71526f3f0,c86b5e26e0b9195f4928741b5b7dcd3d857f4de5,src/java/org/apache/commons/codec/language/RefinedSoundex.java,43,43,b0117669677f27a448c8fcafcd1430e2e0a5c3db,src/java/org/apache/commons/codec/language/RefinedSoundex.java,NO_METHOD,US_ENGLISH_MAPPING,fixed,0,9,10,13,TP,TP,TP
PERFORMANCE,DM_BOXED_PRIMITIVE_FOR_PARSING,1,16,commons-codec,4008ff9e49715f77cd6ac956b358160b7e416e69,03d62b63f1d8c6551d59893fd3f5dc1add6d3132,src/main/java/org/apache/commons/codec/digest/Sha2Crypt.java,142,142,fbefe56c0a41a1742872c9d0f624e5c32710ab4e,src/main/java/org/apache/commons/codec/digest/Sha2Crypt.java,sha2Crypt([BLjava/lang/String;Ljava/lang/String;ILjava/lang/String;)Ljava/lang/String;,NO_FIELD,fixed,14,1,15,15,TP,TP,TP
I18N,DM_DEFAULT_ENCODING,1,19,commons-codec,7028095497c29edde3c0f320080f7d4aa5b22c98,cc6df030dd2bd4d8693f0b557f097ab3b321b18e,src/java/org/apache/commons/codec/digest/DigestUtils.java,473,473,25ad9f824aef478b61a774ed9402068ad215b23b,src/java/org/apache/commons/codec/digest/DigestUtils.java,sha512(Ljava/lang/String;)[B,NO_FIELD,fixed,10,5,7,34,TP,TP,TP
PERFORMANCE,SS_SHOULD_BE_STATIC,2,18,commons-codec,e810384bf01c1ea545757b06af73a4bb2b2401ab,cffa33ee9cc4a86c4e252016e765f78e64d5067c,src/java/org/apache/commons/codec/binary/BaseNCodec.java,72,72,effccf34b070dafe36e05a181d90d1969443fc0c,src/java/org/apache/commons/codec/binary/BaseNCodec.java,NO_METHOD,PAD,fixed,1,5,5,6,TP,TP,TP
I18N,DM_DEFAULT_ENCODING,1,19,commons-codec,2bcdfd86643761c239ec40e6e1e2f05855a07f95,8b206b53077999a6d180ed1f4d1daa57523eda04,src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,396,396,b5ce7fae5bb6794d41216756f080a087cb956e90,src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,hash128(Ljava/lang/String;)[J,NO_FIELD,unfixed,132,1,4,70,TP,TP,TP
I18N,DM_DEFAULT_ENCODING,1,19,commons-codec,9a84b3a53b37204c6ae9549ba41037c60f15479b,2b0fecf0fc85fcf69ac76419fe1dafe7c8e988f4,src/main/java/org/apache/commons/codec/digest/MurmurHash2.java,255,255,627b5fde397040acbf234bc132cc0f7cfaf4673e,src/main/java/org/apache/commons/codec/digest/MurmurHash2.java,hash64(Ljava/lang/String;)J,NO_FIELD,fixed,27,4,4,27,TP,TP,TP
DODGY_CODE,SF_SWITCH_NO_DEFAULT,2,19,commons-codec,5cd45cca92b4ba31d55f2e5d28aacf2a5d3fca22,f424976a31abcc77c7bd1ce558437e04c7fe68f5,src/main/java/org/apache/commons/codec/binary/Base64.java,339,356,3f41cf1609fae7c8848beb0655bcf67132c7a277,src/main/java/org/apache/commons/codec/binary/Base64.java,encode([BII)V,NO_FIELD,unfixed,1,5,5,17,TP,TP,TP
I18N,DM_DEFAULT_ENCODING,1,19,commons-codec,9a84b3a53b37204c6ae9549ba41037c60f15479b,ef6023c551fc6144fa1f8ac776236dfd712a7a39,src/main/java/org/apache/commons/codec/digest/MurmurHash2.java,144,144,f40005ad5a9c892fa8d216b12029a49062224351,src/main/java/org/apache/commons/codec/digest/MurmurHash2.java,hash32(Ljava/lang/String;)I,NO_FIELD,fixed,27,3,3,27,TP,TP,TP
DODGY_CODE,NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,2,13,commons-codec,f8c39cfd773d797adc1b4ee19aa8fc17268946ec,ba966190a1f61520201b7d62fdf69aa6515e2e73,src/main/java/org/apache/commons/codec/cli/Digest.java,122,122,27388c817bf558af48568ce724b9de080e80e8f1,src/main/java/org/apache/commons/codec/cli/Digest.java,run(Ljava/lang/String;Ljava/security/MessageDigest;)V,NO_FIELD,fixed,0,1,2,2,TP,TP,TP
DODGY_CODE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,3,20,commons-codec,4075aa69bfff3d283fcf59ff371a3bcc43238b4e,5b74e6da63b1f0ad9972c2ca3f85abcb1080fb53,src/java/org/apache/commons/codec/net/URLCodec.java,58,58,d09530a36ddb367da4d47c487496b68d999f7837,src/java/org/apache/commons/codec/net/URLCodec.java,NO_METHOD,ESCAPE_CHAR,unfixed,121,4,14,38,TP,TP,TP
CORRECTNESS,RV_ABSOLUTE_VALUE_OF_RANDOM_INT,1,7,commons-codec,4008ff9e49715f77cd6ac956b358160b7e416e69,d2c0d2a2327e9ddf887b119fadbe5a5366f67e36,src/main/java/org/apache/commons/codec/digest/UnixCrypt.java,371,371,536ede39c1bd58ae4aa6138103746b94164287ee,src/main/java/org/apache/commons/codec/digest/UnixCrypt.java,crypt([BLjava/lang/String;)Ljava/lang/String;,NO_FIELD,unfixed,119,1,5,9,TP,TP,TP
DODGY_CODE,DLS_DEAD_LOCAL_STORE,2,17,commons-codec,114830d0f1c0ae96b9b546849e2766694fd3e1e4,114830d0f1c0ae96b9b546849e2766694fd3e1e4,src/main/java/org/apache/commons/codec/binary/Base64.java,337,337,1a3a1b306faec5e317c8be2ebb9e54244f6ab57d,src/main/java/org/apache/commons/codec/binary/Base64.java,encode([BIILorg/apache/commons/codec/binary/BaseNCodec$Context;)V,NO_FIELD,unfixed,0,1,4,17,TP,TP,TP
DODGY_CODE,SA_FIELD_DOUBLE_ASSIGNMENT,3,20,commons-codec,4cc8b66909d3f530f8509785dfb958d71526f3f0,9ac451e968c2e582716af59c3c1a06208a9b213a,src/java/org/apache/commons/codec/binary/Base32.java,412,412,56730f9160d3917e180dcbdc2cf133e7a5da0b7f,src/java/org/apache/commons/codec/binary/Base32.java,decode([BII)V,modulus,fixed,1,1,9,20,TP,TP,TP
I18N,DM_CONVERT_CASE,3,20,commons-codec,1573a121c4fa7b39f4f49691cc5fde3cccf4c7a1,26951aa855bdd1927609a2dc72900a0adac08c6f,src/java/org/apache/commons/codec/language/bm/Lang.java,213,213,29524ee6b16bde662d61c69635760f574f12c1b7,src/java/org/apache/commons/codec/language/bm/Lang.java,guessLanguages(Ljava/lang/String;)Lorg/apache/commons/codec/language/bm/Languages$LanguageSet;,NO_FIELD,fixed,12,1,1,1,TP,TP,TP
